exam_name,topic_name
AWS Certified Solution Architect - Associate 2020,Virtual Private Cloud (VPC)
AWS Certified Solution Architect - Associate 2020,Networking
AWS Certified Solution Architect - Associate 2020,DynamoDB
AWS Certified Solution Architect - Associate 2020,Lambda
AWS Certified Solution Architect - Associate 2020,Relational Database Service (RDS)
AWS Certified Solution Architect - Associate 2020,Elastic Compute Cloud (EC2)
AWS Certified Solution Architect - Associate 2020,ElastiCache
